Location Name,District,Governorate,Latitude,Longitude,Population,Economic,Social,Number of Families,Date,Origin
Chardaghli village,Tooz,Salah al-Din,34.818984,44.557499,0.226,0,12,35,14-Apr-16,Kirkuk
Hay Al-Askary,Tooz,Salah al-Din,34.726584,44.584608,0.216,0,10.6,30,14-Apr-16,Kirkuk
Hay Al-Ahrar-Al-Makrama,Tooz,Salah al-Din,34.730262,44.5893,0.205,0,9.7,10,14-Apr-16,Kirkuk
Hay Al-Nasr,Tooz,Salah al-Din,34.727374,44.58222,0.194,0,30,10,14-Apr-16,Kirkuk
Hay Al-Shohadaa,Tooz,Salah al-Din,34.724364,44.587766,0.19,0.203,26.4,10,14-Apr-16,Kirkuk
Hay Al-Askareen,Tooz,Salah al-Din,34.722593,44.583937,0.188,0.282,12.1,10,14-Apr-16,Kirkuk
Hay Al-Teen,Tooz,Salah al-Din,34.72508,44.580515,0.187,0,18.1,12,14-Apr-16,Kirkuk
Hay Sabaa Tamoz,Tooz,Salah al-Din,34.72491,44.590226,0.176,0.073,25.5,5,14-Apr-16,Kirkuk
Hay Wahid Huzayran,Tooz,Salah al-Din,34.71924,44.581716,0.175,0.048,23.6,5,14-Apr-16,Kirkuk
Qara Naz village,Tooz,Salah al-Din,34.785884,44.570116,0.174,0.282,12.1,20,14-Apr-16,Kirkuk
Al-Alam-mahallat awayjelya 27,Tikrit,Salah al-Din,35.557912,43.271648,0.161,0,10.6,20,14-Apr-16,Najaf
Brawchili village,Tooz,Salah al-Din,34.79641,44.584962,0.154,0,29.3,40,14-Apr-16,Najaf
Chardaghli village,Tooz,Salah al-Din,34.818984,44.557499,0.138,0,12,35,14-Apr-16,Najaf
Hay Al-Askary,Tooz,Salah al-Din,34.726584,44.584608,0.129,0,13.3,20,14-Apr-16,Najaf
Hay Al-Ahrar-Al-Makrama,Tooz,Salah al-Din,34.730262,44.5893,0.126,0.145,28.2,15,14-Apr-16,Najaf
Hay Al-Nasr,Tooz,Salah al-Din,34.727374,44.58222,0.112,0,30,20,14-Apr-16,Najaf
Hay Al-Shohadaa,Tooz,Salah al-Din,34.724364,44.587766,0.097,0,12,5,14-Apr-16,Najaf
Hay Al-Askareen,Tooz,Salah al-Din,34.722593,44.583937,0.084,0,10.6,10,14-Apr-16,Najaf
Hay Al-Teen,Tooz,Salah al-Din,34.72508,44.580515,0.065,0.282,12.1,10,14-Apr-16,Najaf
Hay Sabaa Tamoz,Tooz,Salah al-Din,34.72491,44.590226,0.062,0.146,28.2,5,14-Apr-16,Najaf
Qara Naz village,Tooz,Salah al-Din,34.785884,44.570116,0.045,0.186,16.4,20,14-Apr-16,Najaf
Ein Alhilwa,Telafar,Ninewa,36.59539635,42.61828182,0.038,0,29.6,5,14-Apr-16,Ninewa
Hay Al Muthana,Telafar,Ninewa,36.3871,42.4609,0.03,0,12,10,14-Apr-16,Ninewa
Hay Al Uroba,Telafar,Ninewa,36.3826,42.4651,0.021,0,16.4,20,14-Apr-16,Ninewa
Qasabat Zummar,Telafar,Ninewa,36.65337274,42.5964763,0.138,0,12,50,14-Apr-16,Ninewa
Telafar-Al Noor,Telafar,Ninewa,36.3734,42.4651,0.129,0,13.3,53,14-Apr-16,Ninewa
Abtakh,Telafar,Ninewa,36.519699,42.085088,0.126,0.145,28.2,90,14-Apr-16,Ninewa
Gilbarat Village,Telafar,Ninewa,36.82788825,42.13476576,0.112,0,30,48,14-Apr-16,Ninewa
Hay Al Askari,Telafar,Ninewa,36.80290101,42.09740081,0.097,0,12,1000,14-Apr-16,Ninewa
Hay Al Arbaeen,Telafar,Ninewa,36.80591558,42.08635511,0.084,0,10.6,150,14-Apr-16,Ninewa
Hay Alasreya,Telafar,Ninewa,36.80402344,42.08692694,0.065,0.282,12.1,500,14-Apr-16,Ninewa
Hay althahabe,Telafar,Ninewa,36.80167961,42.0950682,0.461,0,29.6,250,14-Apr-16,Ninewa
Hay Al laban,Telafar,Ninewa,36.80879864,42.09110865,0.448,0,23.5,350,14-Apr-16,Ninewa
Hay Al-Mualemen,Telafar,Ninewa,36.3672,42.4321,0.442,0.134,25.5,25,14-Apr-16,Ninewa
Hay Al Qadisya,Telafar,Ninewa,36.80791098,42.08269775,0.468,0.339,23.6,350,14-Apr-16,Ninewa
Hay Al Salam,Telafar,Ninewa,36.3886,42.464,0.462,0.184,29.3,16,14-Jul-16,Ninewa
Hay Al Sikak,Telafar,Ninewa,36.79928814,42.09502276,0.16,23.6,10,115,14-Apr-16,Ninewa
Jussa,Telafar,Ninewa,36.59552802,42.68164289,0.096,18.1,25,180,14-Apr-16,Ninewa
Mashraf,Telafar,Ninewa,36.81314919,42.26330483,0.119,34.3,60,58,14-Jul-16,Ninewa
Msherfa Village,Telafar,Ninewa,36.76218505,42.06476042,0.194,34.3,39,365,14-Apr-16,Ninewa
Qasr Sarij,Telafar,Ninewa,36.55342282,42.51201842,0,12.1,50,55,14-Jul-16,Ninewa
Sahel Hamad Village,Telafar,Ninewa,36.57845793,42.64486974,0.102,24,10,8,14-Jul-16,Ninewa
Tal Ismair,Telafar,Ninewa,36.75136126,42.17268614,0.301,34.3,64,445,14-Apr-16,Ninewa
Qaryat Tal Maraq Al Sufla,Telafar,Ninewa,36.59377779,42.52574229,0.301,34.3,32,20,14-Jul-16,Ninewa
Qaryat Tal Maraq Ulya,Telafar,Ninewa,36.60933279,42.53709124,0.208,25.7,40,30,14-Jul-16,Ninewa
Tal Mus,Telafar,Ninewa,36.63147027,42.5982161,0.468,0.339,23.6,150,14-Apr-16,Ninewa
Tal alhuaa,Telafar,Ninewa,36.74845109,42.30442092,0.462,0.184,29.3,565,14-Apr-16,Ninewa
abu khushub,Telafar,Ninewa,36.739934,42.124847,0.16,23.6,10,366,14-Apr-16,Ninewa
Tel shor,Telafar,Ninewa,36.49949129,42.14180719,0.096,18.1,25,104,14-Apr-16,Ninewa
jadida,Telafar,Ninewa,36.55067497,42.06920852,0.119,34.3,60,65,14-Apr-16,Ninewa
Hokna,Telafar,Ninewa,36.56320404,42.55695594,0.285,0,29.6,12,14-Jul-16,Ninewa
Fakerok,Telafar,Ninewa,36.58480227,42.48517856,0.275,0.058,12,20,14-Jul-16,Ninewa
Abu Hajira vilage,Telafar,Ninewa,36.76480105,42.20876496,0.269,0.29,23.6,195,14-Apr-16,Ninewa
Tal Hial vilage,Telafar,Ninewa,36.79108236,42.17468886,0.263,0,10.6,284,14-Apr-16,Ninewa
Tal Talab vilage,Telafar,Ninewa,36.7463545,42.19946533,0.263,0,10.5,116,14-Apr-16,Ninewa
Biir eakla vilage,Telafar,Ninewa,36.79399705,42.21445556,0.119,34.3,60,95,14-Apr-16,Ninewa
Tal wardan vilage,Telafar,Ninewa,36.71669083,42.35230019,0.285,0,29.6,150,14-Apr-16,Ninewa
Albawtha vilage,Telafar,Ninewa,36.72818889,42.2584518,0.275,0.058,12,133,14-Apr-16,Ninewa
Salihiat alrawia vilage,Telafar,Ninewa,36.74229473,42.08424568,0.269,0.29,23.6,64,14-Apr-16,Ninewa
Karsur vilage,Telafar,Ninewa,36.729982,42.389882,0.263,0,10.6,380,14-Apr-16,Ninewa
Ewaynat vilage,Telafar,Ninewa,36.6798312,42.39306121,0.292,0,13.3,1110,14-Apr-16,Ninewa
Mosul Dam,Tilkaif,Ninewa,36.61367927,42.83751309,0.288,0,9.7,200,14-Apr-16,Ninewa
Derston,Tilkaif,Ninewa,36.67897676,43.0128095,0.285,0,29.6,140,14-Apr-16,Ninewa
Al-Khadhra area,Al-Daur,Salah al-Din,34.47699758,43.79074065,0.275,0.058,12,145,14-Apr-16,Salahal Din
Al Asriyah village,Al-Daur,Salah al-Din,34.46089339,43.84258054,0.508,0.218,26.4,204,14-Apr-16,Salahal Din
Al Mujammaa Al Sakani,Al-Daur,Salah al-Din,34.40730847,43.79371673,0.508,0,29.6,822,14-Apr-16,Salahal Din
Hay Abu Dalaf,Al-Daur,Salah al-Din,34.45569217,43.79793786,0.508,0.146,22.2,323,14-Apr-16,Salahal Din
Hay Al Aboor,Al-Daur,Salah al-Din,34.46474689,43.79123451,0.493,0.105,13.3,156,14-Apr-16,Salahal Din
Hay Al Askri,Al-Daur,Salah al-Din,34.46264848,43.7951005,0.492,0,29.1,100,14-Apr-16,Salahal Din
Hay Al Mahad,Al-Daur,Salah al-Din,34.45656032,43.80564753,0.49,0.301,34.3,213,14-Apr-16,Salahal Din
Hay Al Sharqiyah,Al-Daur,Salah al-Din,34.45350793,43.79186232,0.483,0.146,22.2,225,14-Apr-16,Salahal Din
Hay Tal Al Banat,Al-Daur,Salah al-Din,34.44623168,43.79742145,0.483,0.192,25.7,379,14-Apr-16,Salahal Din
Hay Al Qadisiah,Al-Daur,Salah al-Din,34.47331315,43.79128573,0.478,0,23.5,120,14-Apr-16,Salahal Din
Albu Tuama Village,Baiji,Salah al-Din,34.8201873,43.5295816,0.477,0.068,29.9,1250,14-Apr-16,Salahal Din
Al Hamra village,Baiji,Salah al-Din,34.75922381,43.601933,0.477,0.271,34.3,70,14-Apr-16,Salahal Din
Albu Jewari,Balad,Salah al-Din,34.05807534,44.21782195,0.474,0.203,26.4,450,14-Apr-16,Salahal Din
Al-Duloeyah-Hay Al Jubor,Balad,Salah al-Din,34.03252308,44.23102544,0.47,0.216,29.2,401,14-Apr-16,Salahal Din
Al-Duloeyah-Hay khazraj,Balad,Salah al-Din,34.04660942,44.21995147,0.468,0.339,23.6,363,14-Apr-16,Salahal Din
Beshakan village,Balad,Salah al-Din,34.02670949,44.28184378,0.462,0.184,29.3,423,14-Apr-16,Salahal Din
Bezna Village,Al-Fares,Salah al-Din,33.90924349,44.18353061,0.461,0,29.6,488,14-Apr-16,Salahal Din
Albo Fadaus Village,Al-Fares,Salah al-Din,33.889832,44.355067,0.448,0,23.5,474,14-Apr-16,Salahal Din
Al-Tresha-Albu Fahed,Samarra,Salah al-Din,34.09474977,44.0535512,0.442,0.134,25.5,352,14-Apr-16,Salahal Din
Al-Tresha-Albu Shatb,Samarra,Salah al-Din,34.0753838,44.0893379,0.441,0,10.5,38,14-Apr-16,Salahal Din
Al Abassyiah Village,Samarra,Salah al-Din,34.29947629,43.78312184,0.435,0.203,26.4,244,14-Apr-16,Salahal Din
Al-Jillam area,Samarra,Salah al-Din,34.24088767,43.88342028,0.435,0.047,32,412,14-Apr-16,Salahal Din
Al Seeawiya 1,Samarra,Salah al-Din,34.076353,44.065528,0.422,0,29.9,71,14-Apr-16,Salahal Din
Hawi Albsat,Samarra,Salah al-Din,34.26130263,43.87664418,0.422,0.233,37.8,435,14-Apr-16,Salahal Din
Huiesh village,Samarra,Salah al-Din,34.20189174,43.81188853,0.413,0,13.6,391,14-Apr-16,Salahal Din
Mahala mkeasheefa,Samarra,Salah al-Din,34.366498,43.746792,0.396,0.058,12,897,14-Apr-16,Salahal Din
Al Ahad Al Jadid village,Tikrit,Salah al-Din,34.72004017,43.69731076,0.393,0,24,253,14-Apr-16,Salahal Din
Hay Al Askari,Tikrit,Salah al-Din,34.6864536,43.7163503,0.392,0.107,34.3,133,14-Apr-16,Salahal Din
Al khuzamiya Village,Tikrit,Salah al-Din,34.770133,43.642804,0.387,0,29.1,20,14-Apr-16,Salahal Din
Awajealah Quarter,Tikrit,Salah al-Din,34.679689,43.716175,0.381,0,41.9,425,14-Apr-16,Salahal Din
Hay Al Asry Al Jadid-404,Tikrit,Salah al-Din,34.60299367,43.67718863,0.371,0.053,18.1,46,14-Apr-16,Salahal Din
Hay Al sinay-Al samad,Tikrit,Salah al-Din,34.71278936,43.71913112,0.37,0,22.6,150,14-Apr-16,Salahal Din
Mahalla Al muwadafeen,Tikrit,Salah al-Din,34.68825,43.7121611,0.369,0,9.7,225,14-Apr-16,Salahal Din
Qadisya 2 500 Area,Tikrit,Salah al-Din,34.65833909,43.65228759,0.367,0,29.1,100,14-Apr-16,Salahal Din
Al-Shahama Village,Tikrit,Salah al-Din,34.693583,43.625877,0.364,0,29.1,7,14-Apr-16,Salahal Din
Hammad Shihab,Tikrit,Salah al-Din,34.700996,43.61655,0.355,0.088,22.6,6,14-Apr-16,Salahal Din
Hay Sheshen Mahal 408,Tikrit,Salah al-Din,34.58833211,43.68183502,0.35,0.218,26.4,137,14-Apr-16,Salahal Din
Al-Alam-mahallat awayjelya 27,Tikrit,Salah al-Din,35.557912,43.271648,0.347,0,10.5,95,14-Apr-16,Salahal Din
Al Bzikhah Village,Tikrit,Salah al-Din,34.88913364,43.54808166,0.342,0.119,34.3,200,14-Apr-16,Salahal Din
Aldleimat Village,Tikrit,Salah al-Din,34.7874116,43.62602921,0.338,0,10.5,200,14-Apr-16,Salahal Din
Al Zallayah village,Tikrit,Salah al-Din,34.45798508,43.72672328,0.33,0,29.1,294,14-Apr-16,Salahal Din
Hay Al Anwaa Mahala 420,Tikrit,Salah al-Din,34.573702,43.6828547,0.323,0,9.7,63,14-Apr-16,Salahal Din
Hay Alarbaen,Tikrit,Salah al-Din,34.5934169,43.67752931,0.322,0.208,25.7,124,14-Apr-16,Salahal Din
Al Baladiyat-402,Tikrit,Salah al-Din,34.61173746,43.67375893,0.308,0,13.6,107,14-Apr-16,Salahal Din
Hay Al-jamiyah 3,Tikrit,Salah al-Din,34.6075,43.6891,0.301,0,10.6,45,14-Apr-16,Salahal Din
Hay Aljamiyaa,Tikrit,Salah al-Din,34.595911,43.67360203,0.292,0,13.3,428,14-Apr-16,Salahal Din
Hay Al Jamiya-Mahalla 416,Tikrit,Salah al-Din,34.589026,43.675297,0.288,0,9.7,350,14-Apr-16,Salahal Din
Hay Al Mualimeen-406,Tikrit,Salah al-Din,34.60051117,43.67569827,0.285,0,29.6,174,14-Apr-16,Salahal Din
Hay AL Suqour,Tikrit,Salah al-Din,34.70311367,43.6120917,0.275,0.058,12,30,14-Apr-16,Salahal Din
Hay Salma Altaghlubia,Tikrit,Salah al-Din,34.61217676,43.68086113,0.269,0.29,23.6,96,14-Apr-16,Salahal Din
Qadisya 1 Mahala 214,Tikrit,Salah al-Din,34.62769975,43.66993265,0.263,0,10.6,47,14-Apr-16,Salahal Din
Qadisya 2 Mahala 216,Tikrit,Salah al-Din,34.6490752,43.65431644,0.263,0,10.5,176,14-Apr-16,Salahal Din
Tal-Al Sibaat Village,Tikrit,Salah al-Din,34.82091767,43.57805906,0.254,0.048,23.6,265,14-Apr-16,Salahal Din
Uwainat,Tikrit,Salah al-Din,34.47276123,43.73420029,0.25,0.233,37.8,263,14-Apr-16,Salahal Din
Hay Aldiuom,Tikrit,Salah al-Din,34.60058227,43.65346668,0.247,0.345,27.3,203,14-Apr-16,Salahal Din
Hay Alziraa,Tikrit,Salah al-Din,34.5849295,43.6825414,0.242,0.151,12.1,183,14-Apr-16,Salahal Din
Hay 100 dar,Tikrit,Salah al-Din,34.58267792,43.68829058,0.242,0.053,18.1,96,14-Apr-16,Salahal Din
Hay Alqalaa,Tikrit,Salah al-Din,34.60444415,43.68508597,0.226,0,12,76,14-Apr-16,Salahal Din
Hay Alkahrbaa,Tikrit,Salah al-Din,34.60775855,43.66877785,0.216,0,10.6,40,14-Apr-16,Salahal Din
Hay Alfirdous,Tikrit,Salah al-Din,34.58980145,43.66485212,0.205,0,9.7,244,14-Apr-16,Salahal Din
Hay Al-Tajneed,Tikrit,Salah al-Din,34.58197342,43.67832992,0.194,0,30,63,14-Apr-16,Salahal Din
Hay Al-Quthat,Tikrit,Salah al-Din,34.601486,43.671975,0.19,0.203,26.4,114,14-Apr-16,Salahal Din
Hay Al-Wihda,Tikrit,Salah al-Din,34.60417,43.66845,0.188,0.282,12.1,79,14-Apr-16,Salahal Din
Al-Muskarat,Tikrit,Salah al-Din,34.71421957,43.61253904,0.187,0,18.1,130,14-Apr-16,Salahal Din
Albo-Ubed,Tikrit,Salah al-Din,34.58777778,43.66305556,0.176,0.073,25.5,253,14-Apr-16,Salahal Din
Mahalla Al Aed,Tikrit,Salah al-Din,34.69929617,43.70954756,0.175,0.048,23.6,140,14-Apr-16,Salahal Din
Brawchili village,Tooz,Salah al-Din,34.79641,44.584962,0.174,0.282,12.1,60,14-Apr-16,Salahal Din
Chardaghli village,Tooz,Salah al-Din,34.818984,44.557499,0.161,0,10.6,193,14-Apr-16,Salahal Din
Hay Al-Askary,Tooz,Salah al-Din,34.726584,44.584608,0.154,0,29.3,20,14-Apr-16,Salahal Din
Hay Al-Nasr,Tooz,Salah al-Din,34.727374,44.58222,0.138,0,12,5,14-Apr-16,Salahal Din
Hay Al-Shohadaa,Tooz,Salah al-Din,34.724364,44.587766,0.129,0,13.3,15,14-Apr-16,Salahal Din
Hay Al-Askareen,Tooz,Salah al-Din,34.722593,44.583937,0.126,0.145,28.2,5,14-Apr-16,Salahal Din
Hay Al-Teen,Tooz,Salah al-Din,34.72508,44.580515,0.112,0,30,10,14-Apr-16,Salahal Din
Hay Sabaa Tamoz,Tooz,Salah al-Din,34.72491,44.590226,0.097,0,12,10,14-Apr-16,Salahal Din
Hay Wahid Huzayran,Tooz,Salah al-Din,34.71924,44.581716,0.084,0,10.6,15,14-Apr-16,Salahal Din
Qara Naz village,Tooz,Salah al-Din,34.785884,44.570116,0.065,0.282,12.1,129,14-Apr-16,Salahal Din
Al-Sadiqiyah,Ramadi,Anbar,33.39354,43.49841,0.062,0.146,28.2,5,14-Apr-16,Sulaymaniyah
Arab jasam village ,Mahmoudiya,Baghdad,33.04547159,44.20015211,0.045,0.186,16.4,76,14-Apr-16,Sulaymaniyah
Al-Arabdah Village,Al-Khalis,Diyala,34.08057011,44.91989902,0.038,0,29.6,88,14-Apr-16,Sulaymaniyah
Dawod Al-Salom village,Al-Khalis,Diyala,34.12569087,44.84357874,0.03,0,12,10,14-Apr-16,Sulaymaniyah
Al Aqssa Village,Al-Khalis,Diyala,34.06579285,44.87062591,0.021,0,16.4,30,14-Apr-16,Sulaymaniyah
Bizayiz Sherwin Village,Al-Khalis,Diyala,34.040578,44.881273,0.138,0,12,50,14-Apr-16,Sulaymaniyah
Al Bayat Village,Al-Khalis,Diyala,34.09172564,44.93657436,0.129,0,13.3,15,14-Apr-16,Sulaymaniyah
Habib Al Abdulla Village,Al-Khalis,Diyala,34.05390233,44.8922767,0.126,0.145,28.2,100,14-Apr-16,Sulaymaniyah
Habib Al Khaizaran Village,Al-Khalis,Diyala,34.121222,44.82899997,0.112,0,30,20,14-Apr-16,Sulaymaniyah
Al Mansouriyah-Hamada Village,Al-Khalis,Diyala,34.03136641,44.87252433,0.097,0,12,22,14-Apr-16,Sulaymaniyah
Dalli Abass-Al Mualimen Qtr,Al-Khalis,Diyala,34.07036711,44.87058006,0.084,0,10.6,45,14-Apr-16,Sulaymaniyah
Dali Abbas-Al Qadim Qtr,Al-Khalis,Diyala,34.073397,44.8639966,0.065,0.282,12.1,55,14-Apr-16,Sulaymaniyah
Dalli Abass-Al Rasheed Qtr,Al-Khalis,Diyala,34.06989152,44.86440017,0.461,0,29.6,10,14-Apr-16,Sulaymaniyah
Dalli Abass-Al-Shuhada Qtr,Al-Khalis,Diyala,34.06771587,44.86560113,0.448,0,23.5,10,14-Apr-16,Sulaymaniyah
Dalli Abass-Kurd Ali,Al-Khalis,Diyala,34.06963956,44.85989045,0.442,0.134,25.5,25,14-Apr-16,Sulaymaniyah
Mohammed Ali Village,Al-Khalis,Diyala,34.04549809,44.88205377,0.468,0.339,23.6,60,14-Apr-16,Sulaymaniyah
Mohammed Taha Village,Al-Khalis,Diyala,34.03490537,44.87478459,0.462,0.184,29.3,39,14-Apr-16,Sulaymaniyah
Somair village,Al-Khalis,Diyala,34.05691902,44.88446184,0.16,23.6,10,50,14-Apr-16,Sulaymaniyah
Al Derwish Village,Al-Muqdadiya,Diyala,34.01548358,44.90919527,0.096,18.1,25,10,14-Apr-16,Sulaymaniyah
Al Lihayb Village,Al-Muqdadiya,Diyala,34.0055888,44.87929659,0.119,34.3,60,50,14-Apr-16,Sulaymaniyah
Al Mithaq Village,Al-Muqdadiya,Diyala,34.0059,44.9477,0.194,34.3,39,20,14-Apr-16,Sulaymaniyah
Al Qalaa Village,Al-Muqdadiya,Diyala,34.01496421,44.91514897,0,12.1,50,7,14-Apr-16,Sulaymaniyah
Haj fadhil village,Al-Muqdadiya,Diyala,34.00214397,44.87796137,0.102,24,10,10,14-Apr-16,Sulaymaniyah
Hamada village,Al-Muqdadiya,Diyala,34.01124609,44.9009763,0.301,34.3,64,26,14-Apr-16,Sulaymaniyah
Imam Talib Village,Al-Muqdadiya,Diyala,34.04016742,44.98807403,0.301,34.3,32,90,14-Apr-16,Sulaymaniyah
Shak Al Rak Village,Al-Muqdadiya,Diyala,34.00157426,44.93505739,0.208,25.7,40,15,14-Apr-16,Sulaymaniyah
Shok Al Reem village,Al-Muqdadiya,Diyala,34.00320627,44.9808972,0.468,0.339,23.6,100,14-Apr-16,Sulaymaniyah
Al Husaini Village,Khanaqin,Diyala,34.31110687,45.16255235,0.462,0.184,29.3,60,14-Apr-16,Sulaymaniyah
Al Asree Qtr,Khanaqin,Diyala,34.16160834,45.13466074,0.16,23.6,10,14,14-Apr-16,Sulaymaniyah
Al Taleaa Qtr,Khanaqin,Diyala,34.27669888,45.16275235,0.096,18.1,25,68,14-Apr-16,Sulaymaniyah
Al Shaheed Qtr(Al Zohor),Khanaqin,Diyala,34.18238859,45.118946,0.119,34.3,60,30,14-Apr-16,Sulaymaniyah
17Tamooz Qtr,Khanaqin,Diyala,34.18558418,45.12080844,0.285,0,29.6,23,14-Apr-16,Sulaymaniyah
Alkhadra Qtr,Khanaqin,Diyala,34.28849922,45.16083719,0.275,0.058,12,10,14-Apr-16,Sulaymaniyah
Al Oroba Qtr,Khanaqin,Diyala,34.27135891,45.16460943,0.269,0.29,23.6,50,14-Apr-16,Sulaymaniyah
Al Rabe Al Thaletha Qtr,Khanaqin,Diyala,34.19965,45.126589,0.263,0,10.6,25,14-Apr-16,Sulaymaniyah
Ain Hilwa Upper,Telafar,Ninewa,36.60537426,42.62355125,0.263,0,10.5,10,14-Apr-16,Sulaymaniyah
Al-Khadhra area,Al-Daur,Salah al-Din,34.47699758,43.79074065,0.119,34.3,60,175,14-Apr-16,Sulaymaniyah
Al Asriyah village,Al-Daur,Salah al-Din,34.46089339,43.84258054,0.285,0,29.6,17,14-Apr-16,Sulaymaniyah
Al Mujammaa Al Sakani,Al-Daur,Salah al-Din,34.40730847,43.79371673,0.275,0.058,12,448,14-Apr-16,Sulaymaniyah
Hay Abu Dalaf,Al-Daur,Salah al-Din,34.45569217,43.79793786,0.269,0.29,23.6,37,14-Apr-16,Sulaymaniyah
Hay Al Aboor,Al-Daur,Salah al-Din,34.46474689,43.79123451,0.263,0,10.6,73,14-Apr-16,Sulaymaniyah
Hay Al Askri,Al-Daur,Salah al-Din,34.46264848,43.7951005,0.292,0,13.3,124,14-Apr-16,Sulaymaniyah
Hay Al Mahad,Al-Daur,Salah al-Din,34.45656032,43.80564753,0.288,0,9.7,15,14-Apr-16,Sulaymaniyah
Hay Al Sharqiyah,Al-Daur,Salah al-Din,34.45350793,43.79186232,0.285,0,29.6,20,14-Apr-16,Sulaymaniyah
Hay Al Qadisiah,Al-Daur,Salah al-Din,34.47331315,43.79128573,0.275,0.058,12,81,14-Apr-16,Sulaymaniyah
Al Abassyiah Village,Samarra,Salah al-Din,34.29947629,43.78312184,0.422,0,29.9,10,14-Apr-16,Sulaymaniyah
Al Ahad Al Jadid village,Tikrit,Salah al-Din,34.72004017,43.69731076,0.422,0.233,37.8,17,14-Apr-16,Sulaymaniyah
Hay Al Askari,Tikrit,Salah al-Din,34.6864536,43.7163503,0.413,0,13.6,6,14-Apr-16,Sulaymaniyah
Al khuzamiya Village,Tikrit,Salah al-Din,34.770133,43.642804,0.396,0.058,12,5,14-Apr-16,Sulaymaniyah
Awajealah Quarter,Tikrit,Salah al-Din,34.679689,43.716175,0.393,0,24,150,14-Apr-16,Sulaymaniyah
Hay Al Asry Al Jadid-404,Tikrit,Salah al-Din,34.60299367,43.67718863,0.392,0.107,34.3,39,14-Apr-16,Sulaymaniyah
Qadisya 2 500 Area,Tikrit,Salah al-Din,34.65833909,43.65228759,0.387,0,29.1,40,14-Apr-16,Sulaymaniyah
Al-Mutaradah 204,Tikrit,Salah al-Din,34.62745128,43.66986475,0.381,0,41.9,108,14-Apr-16,Sulaymaniyah
Hammad Shihab,Tikrit,Salah al-Din,34.700996,43.61655,0.371,0.053,18.1,6,14-Apr-16,Sulaymaniyah
Al Karama Village,Tikrit,Salah al-Din,34.69029787,43.62441,0.37,0,22.6,8,14-Apr-16,Sulaymaniyah
Hay Al Anwaa Mahala 420,Tikrit,Salah al-Din,34.573702,43.6828547,0.369,0,9.7,32,14-Apr-16,Sulaymaniyah
Al Baladiyat-402,Tikrit,Salah al-Din,34.61173746,43.67375893,0.367,0,29.1,22,14-Apr-16,Sulaymaniyah
Hay Al-jamiyah 4,Tikrit,Salah al-Din,34.6075,43.6891,0.364,0,29.1,80,14-Apr-16,Sulaymaniyah
Hay Aljamiyaa,Tikrit,Salah al-Din,34.595911,43.67360203,0.355,0.088,22.6,23,14-Apr-16,Sulaymaniyah
Hay Al Jamiya-Mahalla 416,Tikrit,Salah al-Din,34.589026,43.675297,0.35,0.218,26.4,40,14-Apr-16,Sulaymaniyah
Hay Al Mualimeen-406,Tikrit,Salah al-Din,34.60051117,43.67569827,0.347,0,10.5,37,14-Apr-16,Sulaymaniyah
Hay AL Suqour,Tikrit,Salah al-Din,34.70311367,43.6120917,0.342,0.119,34.3,10,14-Apr-16,Sulaymaniyah
Hay Al Zuhour-422,Tikrit,Salah al-Din,34.5875201,43.6731814,0.338,0,10.5,102,14-Apr-16,Sulaymaniyah
Hay Salma Altaghlubia,Tikrit,Salah al-Din,34.61217676,43.68086113,0.33,0,29.1,26,14-Apr-16,Sulaymaniyah
Qadisya 1 Mahala 214,Tikrit,Salah al-Din,34.62769975,43.66993265,0.323,0,9.7,117,14-Apr-16,Sulaymaniyah
Qadisya 2 Mahala 216,Tikrit,Salah al-Din,34.6490752,43.65431644,0.322,0.208,25.7,300,14-Apr-16,Sulaymaniyah
Uwainat,Tikrit,Salah al-Din,34.47276123,43.73420029,0.308,0,13.6,26,14-Apr-16,Sulaymaniyah
Hay Aldiuom,Tikrit,Salah al-Din,34.60058227,43.65346668,0.301,0,10.6,70,14-Apr-16,Sulaymaniyah
Hay 100 dar,Tikrit,Salah al-Din,34.58267792,43.68829058,0.292,0,13.3,23,14-Apr-16,Sulaymaniyah
Hay Alfirdous,Tikrit,Salah al-Din,34.58980145,43.66485212,0.288,0,9.7,15,14-Apr-16,Sulaymaniyah
Hay Al-Tajneed,Tikrit,Salah al-Din,34.58197342,43.67832992,0.285,0,29.6,11,14-Apr-16,Sulaymaniyah
Albo-Ubed,Tikrit,Salah al-Din,34.58777778,43.66305556,0.275,0.058,12,19,14-Apr-16,Sulaymaniyah
Mahalla Al Aed,Tikrit,Salah al-Din,34.69929617,43.70954756,0.269,0.29,23.6,66,14-Apr-16,Sulaymaniyah
Al Mualmeen,Falluja,Anbar,33.35683,43.78421,0.263,0,10.6,45,14-Apr-16,Anbar
Al Shurta,Falluja,Anbar,33.36331,43.79408,0.263,0,10.5,196,14-Apr-16,Anbar
Al-Akrad,Falluja,Anbar,33.36297,43.75677,0.254,0.048,23.6,50,14-Apr-16,Anbar
Al-andalus,Falluja,Anbar,33.34766,43.76473,0.25,0.233,37.8,171,14-Apr-16,Anbar
Al-bazara,Falluja,Anbar,33.35261,43.76542,0.247,0.345,27.3,248,14-Apr-16,Anbar
Al-jamhuriya,Falluja,Anbar,33.35352,43.77534,0.242,0.151,12.1,275,14-Apr-16,Anbar
Al-Julan,Falluja,Anbar,33.36246,43.76304,0.242,0.053,18.1,192,14-Apr-16,Anbar
